uuid,player_id,full_name,primary_position,preferred_foot,total_appearances,career_avg_score,career_avg_vaep,season_summaries,jersey_numbers
63a8f9e3-07f0-bf44-73c2-4dd4db17cebd,5671,Alfred John Momar N''Diaye,Midfielder,right,3,6.116666666666667,0.709680465515703,"[{'season_label': '2013/2014', 'appearances': 1, 'avg_score': 6.01, 'avg_vaep': 1.28}, {'season_label': '2015/2016', 'appearances': 2, 'avg_score': 6.17, 'avg_vaep': 0.42}]","{'2013/2014': 18, '2015/2016': 18, '2016/2017': 4}"
2d36b582-1f8a-ffc6-868b-59dfc9af6c9f,6654,Antonio Adán Garrido,GK,left,7,6.238571428571428,0.4324195056973882,"[{'season_label': '2013/2014', 'appearances': 1, 'avg_score': 6.06, 'avg_vaep': 0.25}, {'season_label': '2015/2016', 'appearances': 2, 'avg_score': 6.03, 'avg_vaep': 0.45}, {'season_label': '2016/2017', 'appearances': 2, 'avg_score': 6.1, 'avg_vaep': 0.4}, {'season_label': '2020/2021', 'appearances': 2, 'avg_score': 6.68, 'avg_vaep': 0.53}]","{'2013/2014': 1, '2015/2016': 13, '2016/2017': 13, '2017/2018': 1, '2018/2019': 1, '2020/2021': 13}"
ddd993b2-fef3-fdff-1018-72bb03cfded8,6738,Juan Francisco Moreno Fuertes,Defender,right,8,6.1575,0.5478743249489071,"[{'season_label': '2013/2014', 'appearances': 1, 'avg_score': 6.12, 'avg_vaep': 0.02}, {'season_label': '2014/2015', 'appearances': 1, 'avg_score': 6.11, 'avg_vaep': 0.46}, {'season_label': '2015/2016', 'appearances': 2, 'avg_score': 6.0, 'avg_vaep': 1.03}, {'season_label': '2016/2017', 'appearances': 1, 'avg_score': 6.12, 'avg_vaep': 0.54}, {'season_label': '2017/2018', 'appearances': 1, 'avg_score': 6.06, 'avg_vaep': 0.6}, {'season_label': '2020/2021', 'appearances': 2, 'avg_score': 6.43, 'avg_vaep': 0.34}]","{'2013/2014': 11, '2014/2015': 11, '2015/2016': 11, '2016/2017': 2, '2017/2018': 2, '2020/2021': 2}"
0dd4332b-c8f0-e969-2eaa-585b1b20c712,27337,Braian Damián Rodríguez Carballo,Attacker,,1,6.0,0.005093515715998365,"[{'season_label': '2013/2014', 'appearances': 1, 'avg_score': 6.0, 'avg_vaep': 0.01}]",{'2013/2014': 16}
2f4ab360-cf3a-f4da-6fde-2edadc989788,27338,Lorenzo Enrique Reyes Vicencio,Midfielder,right,1,6.0,0.8262541586918815,"[{'season_label': '2013/2014', 'appearances': 1, 'avg_score': 6.0, 'avg_vaep': 0.83}]",{'2013/2014': 21}
c4561a0e-1915-9df0-4bbe-fd195d1530a3,27339,Cedric Mabwati Gerard,Attacker,right,1,6.07,0.020099347188079264,"[{'season_label': '2013/2014', 'appearances': 1, 'avg_score': 6.07, 'avg_vaep': 0.02}]",{'2013/2014': 22}
012d9fe1-5b24-93f2-1902-cd55603382ec,6401,Kevin Gameiro,Attacker,right,13,6.295384615384616,0.18561638896202426,"[{'season_label': '2013/2014', 'appearances': 2, 'avg_score': 6.14, 'avg_vaep': 0.2}, {'season_label': '2014/2015', 'appearances': 2, 'avg_score': 6.62, 'avg_vaep': 0.17}, {'season_label': '2015/2016', 'appearances': 2, 'avg_score': 6.59, 'avg_vaep': 0.48}, {'season_label': '2016/2017', 'appearances': 2, 'avg_score': 6.0, 'avg_vaep': 0.26}, {'season_label': '2017/2018', 'appearances': 2, 'avg_score': 6.49, 'avg_vaep': 0.18}, {'season_label': '2018/2019', 'appearances': 1, 'avg_score': 6.17, 'avg_vaep': -0.08}, {'season_label': '2019/2020', 'appearances': 1, 'avg_score': 6.0, 'avg_vaep': -0.12}, {'season_label': '2020/2021', 'appearances': 1, 'avg_score': 6.0, 'avg_vaep': 0.05}]","{'2013/2014': 18, '2014/2015': 7, '2015/2016': 9, '2016/2017': 21, '2017/2018': 9, '2018/2019': 9, '2019/2020': 9, '2020/2021': 21}"
9559fc73-b13f-a721-a816-958488a5b449,6841,Víctor Machín Pérez,Attacker,right,11,6.473636363636363,0.4337442986202818,"[{'season_label': '2013/2014', 'appearances': 2, 'avg_score': 6.45, 'avg_vaep': 0.69}, {'season_label': '2014/2015', 'appearances': 2, 'avg_score': 6.2, 'avg_vaep': 0.34}, {'season_label': '2015/2016', 'appearances': 2, 'avg_score': 6.64, 'avg_vaep': 0.38}, {'season_label': '2016/2017', 'appearances': 2, 'avg_score': 7.31, 'avg_vaep': 0.8}, {'season_label': '2017/2018', 'appearances': 1, 'avg_score': 6.0, 'avg_vaep': 0.3}, {'season_label': '2018/2019', 'appearances': 2, 'avg_score': 6.0, 'avg_vaep': 0.02}]","{'2013/2014': 20, '2014/2015': 20, '2015/2016': 20, '2016/2017': 20, '2017/2018': 23, '2018/2019': 20, '2019/2020': 20, '2020/2021': 23}"
0c836be9-7564-4576-1934-9887cf51b3ba,7154,Sebastián Carlos Cristóforo Pepe,Midfielder,right,3,6.0,0.207314679984241,"[{'season_label': '2013/2014', 'appearances': 1, 'avg_score': 6.0, 'avg_vaep': 0.3}, {'season_label': '2015/2016', 'appearances': 1, 'avg_score': 6.0, 'avg_vaep': 0.29}, {'season_label': '2018/2019', 'appearances': 1, 'avg_score': 6.0, 'avg_vaep': 0.03}]","{'2013/2014': 8, '2015/2016': 14, '2017/2018': 15, '2018/2019': 18}"
7dc18693-b938-5d13-3160-f80154c8976d,15962,Marko Marin,Midfielder,right,1,6.0,-0.033728978469298454,"[{'season_label': '2013/2014', 'appearances': 1, 'avg_score': 6.0, 'avg_vaep': -0.03}]",{'2013/2014': 7}
